Celsius,Fahrenheit,Humidity
14.4,57.92,53.228546497029
14.4,57.92,55.493664570432
15.0,59.0,51.208481187837
13.9,57.02,57.319924622656
13.3,55.94,54.823568602679
12.2,53.96,66.304797658581
11.7,53.06,71.415154619405
11.1,51.98,76.898108532185
11.0,51.8,71.281266407174
11.1,51.98,71.300446309395
11.1,51.98,76.898108532185
11.1,51.98,76.898108532185
,,
10.6,51.08,82.818647556175
10.6,51.08,82.818647556175
11.1,51.98,82.880385175758
11.1,51.98,82.880385175758
11.1,51.98,80.112078202727
11.0,51.8,81.750052187031
11.1,51.98,82.880385175758
11.1,51.98,82.880385175758
11.1,51.98,82.880385175758
11.1,51.98,80.112078202727
10.6,51.08,82.818647556175
11.1,51.98,80.112078202727
10.6,51.08,82.818647556175
10.6,51.08,82.818647556175
10.6,51.08,82.818647556175
10.6,51.08,82.818647556175
10.6,51.08,82.818647556175
10.6,51.08,79.496094610696
11.0,51.8,81.750052187031
10.6,51.08,82.818647556175
10.0,50.0,82.744137389344
10.0,50.0,82.744137389344
10.6,51.08,79.496094610696
11.1,51.98,80.112078202727
13.3,55.94,71.717959085678
15.0,59.0,62.095793682011
15.0,59.0,57.596481693159
15.0,59.0,57.596481693159
15.0,59.0,62.095793682011
12.8,55.04,71.62381165163
12.8,55.04,74.098802959788
12.8,55.04,68.750377788705
13.3,55.94,69.322490896102
13.3,55.94,74.688740763976
12.8,55.04,74.098802959788
12.2,53.96,74.499044679056
12.2,53.96,77.073390888716
11.7,53.06,79.654510078888
11.1,51.98,82.880385175758
10.6,51.08,82.818647556175
11.1,51.98,82.880385175758
10.0,50.0,86.202442841334
9.4,48.92,83.239115566642
8.9,48.02,82.606319428922
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
7.2,44.96,85.913626837241
7.8,46.04,85.976252301
8.3,46.94,86.028130972357
8.3,46.94,86.028130972357
7.8,46.04,85.976252301
7.2,44.96,85.913626837241
7.8,46.04,85.976252301
7.8,46.04,85.976252301
7.8,46.04,85.976252301
7.2,44.96,89.56964455156
,,
7.2,44.96,85.913626837241
7.2,44.96,85.913626837241
6.7,44.06,85.262756549264
6.7,44.06,85.262756549264
6.1,42.980000000000004,85.79775135553
8.9,48.02,76.541811205247
12.2,53.96,66.304797658581
13.9,57.02,61.838774319798
16.1,60.980000000000004,36.218331360241
17.2,62.959999999999994,33.774136944842
18.9,66.02,24.761910914694
19.4,66.92,23.133966649475
18.3,64.94,30.398894889868
18.3,64.94,27.865323005657
17.8,64.04,27.72370629976
15.6,60.08,36.071885398896
15.6,60.08,31.879910834468
13.3,55.94,41.850974284509
11.7,53.06,48.18654073806
11.1,51.98,50.138015445735
11.1,51.98,50.138015445735
8.9,48.02,62.844418715598
7.8,46.04,65.335628646729
8.3,46.94,55.876274833743
6.7,44.06,65.087507484788
7.8,46.04,55.339814528599
7.2,44.96,53.191916466365
6.1,42.980000000000004,57.367912505289
6.1,42.980000000000004,57.367912505289
7.2,44.96,53.191916466365
10.6,51.08,49.998796124422
15.6,60.08,33.065502601487
18.3,64.94,21.836127495952
